[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:125
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:130
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:133
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:136
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:137
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:138
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:141
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:143
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:146
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:148
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:151
[14:14:05] [INFO] TODO pendiente en verify_build.py:151: print("\n[OK] TODO LISTO PARA EMPAQUETAR!")
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:152
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:153
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:154
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:155
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:156
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:158
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:159
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:161
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:162
[14:14:05] [WARN] Posible 'print' olvidado en verify_build.py:165
[14:14:05] [WARN] Posible 'print' olvidado en main.py:33
[14:14:05] [WARN] Posible 'print' olvidado en main.py:35
[14:14:05] [WARN] Posible 'print' olvidado en main.py:80
[14:14:05] [WARN] Posible 'print' olvidado en main.py:33
[14:14:05] [WARN] Posible 'print' olvidado en main.py:35
[14:14:05] [WARN] Posible 'print' olvidado en main.py:80
[14:14:05] [WARN] Se encontraron 111 puntos de atención en el código
